"Marca temporal","Edad","Género","Nivel de estudios alcanzado","Situación respecto a su club  ","Frecuencia con la que sigue a su club  ","Años siguiendo a su club  ","Motivos que le llevaron a seguir a su club  ","Me siento emocionalmente unido/a a mi club de fútbol  ","Seguir a mi club forma parte importante de mi identidad personal ","Me siento orgulloso/a de pertenecer a la afición de mi club ","Mi vínculo con el club es fuerte a nivel emocional ","Siento que los valores del club representan mi forma de entender el fútbol ","Ser aficionado/a de este club es algo estable en mi vida ","Mi relación con el club va más allá de los resultados deportivos ","Estoy satisfecho/a con el rendimiento deportivo reciente de mi club ","Considero que el club tiene un proyecto deportivo bien definido ","Confío en las decisiones deportivas que toma la directiva del club ","La planificación deportiva del club es adecuada ","La gestión deportiva del club es coherente con sus objetivos ","Los fichajes realizados en las últimas temporadas han sido acertados ","La dirección deportiva transmite estabilidad al club ","Estoy satisfecho/a con la forma en que el club gestiona el ámbito deportivo ","Tengo intención de seguir apoyando a mi club durante los próximos años ","Seguiré siendo aficionado/a de este club independientemente de los resultados ","Continuaré siguiendo los partidos de mi club con regularidad ","Me considero un/a aficionado/a fiel a mi club ","Recomendaría mi club a otras personas interesadas en el fútbol ","Indica cualquier observación que desee realizar"
"2026/03/15 9:10:20 p. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Menos de 5 años","Identificación con los valores o la historia del club","4","2","5","4","4","4","5","5","5","5","5","5","5","4","4","5","5","5","5","5",""
"2026/03/15 9:19:26 p. m. CET","24","Hombre","Estudios universitarios","Socio/a o abonado/a","Siempre que juega","Entre 11 y 20 años","Vinculación geográfica (ciudad o región)","5","5","5","5","5","5","4","2","2","3","4","3","4","5","4","5","5","5","5","4",""
"2026/03/15 10:03:44 p. m. CET","56","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","4","4","5","4","4","4","4","4","4","5","4","4","5","5","4","5","5","5","5","5",""
"2026/03/15 10:57:28 p. m. CET","51","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Identificación con los valores o la historia del club","5","3","4","5","5","4","4","4","2","3","2","3","2","1","2","5","5","3","5","5",""
"2026/03/15 11:27:18 p. m. CET","33","Hombre","Educación secundaria","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","2","1","3","2","2","2","2","2","2","2","2","2","2","2","2","3","4","2","2","2",""
"2026/03/16 8:33:28 a. m. CET","26","Hombre","Formación profesional","No socio/a, pero simpatizante","Regularmente","Entre 11 y 20 años","Identificación con los valores o la historia del club","5","4","5","3","5","5","5","2","2","3","2","3","3","3","3","5","5","5","5","5",""
"2026/03/16 8:45:49 a. m. CET","51","Hombre","Formación profesional","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","5","4","5","4","4","4","5","3","3","4","3","3","4","4","5","5","5","5","5","5",""
"2026/03/16 9:42:53 a. m. CET","53","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","4","4","4","3","3","3","4","4","5","4","3","4","4","5","4","5","5","4","","5",""
"2026/03/16 9:51:13 a. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","4","3","3","3","4","3","3","1","2","4","3","3","3","4","3","5","5","5","4","4",""
"2026/03/16 10:01:14 a. m. CET","23","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","5","5","5","5","5","5","1","3","3","2","4","2","3","4","5","5","5","5","5",""
"2026/03/16 10:18:03 a. m. CET","53","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","3","1","1","4","1","1","4","1","1","1","1","1","1","4","1","5","5","4","5","5",""
"2026/03/16 10:51:05 a. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Menos de 5 años","Identificación con los valores o la historia del club","4","2","5","4","4","4","5","5","5","5","5","5","5","4","4","5","5","5","5","5",""
"2026/03/16 12:21:40 p. m. CET","19","Mujer","Formación profesional","No socio/a, pero simpatizante","Regularmente","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","4","4","3","3","3","4","4","3","3","3","3","3","3","3","3","5","5","3","5","5",""
"2026/03/16 12:53:59 p. m. CET","35","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Vinculación geográfica (ciudad o región)","5","4","4","5","5","5","5","1","2","1","2","2","1","2","2","5","5","5","5","5",""
"2026/03/16 2:31:03 p. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Menos de 5 años","Identificación con los valores o la historia del club","4","2","5","4","4","4","5","5","5","5","5","5","5","4","4","5","5","5","5","5",""
"2026/03/16 3:46:24 p. m. CET","25","Hombre","Estudios universitarios","Socio/a o abonado/a","Siempre que juega","Más de 20 años","Vinculación geográfica (ciudad o región)","5","5","5","5","5","5","4","2","4","3","4","3","4","4","5","4","5","5","5","4",""
"2026/03/16 4:12:50 p. m. CET","23","Hombre","Formación profesional","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","3","2","2","2","5","3","5","1","1","3","1","1","1","1","3","4","5","4","5","5",""
"2026/03/16 6:48:35 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Identificación con los valores o la historia del club","4","3","5","3","5","5","5","3","4","5","5","5","5","5","3","5","5","5","5","5",""
"2026/03/16 8:42:36 p. m. CET","33","Hombre","Educación secundaria","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","2","1","3","2","2","2","3","2","2","2","1","2","2","2","2","3","4","2","2","2",""
"2026/03/16 9:45:14 p. m. CET","29","Hombre","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","1","1","2","1","2","1","2","1","3","2","2","3","2","4","4","1","3","1","2","4",""
"2026/03/16 9:48:42 p. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Menos de 5 años","Identificación con los valores o la historia del club","4","2","5","4","4","4","5","5","5","5","5","5","5","4","4","5","5","5","5","5",""
"2026/03/16 10:10:11 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","5","3","4","4","4","5","5","4","4","4","3","4","2","3","3","5","5","4","5","5",""
"2026/03/16 10:42:17 p. m. CET","24","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","2","2","2","2","2","3","1","1","1","1","1","1","1","1","1","3","2","4","2","2",""
"2026/03/16 11:00:56 p. m. CET","55","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Identificación con los valores o la historia del club","4","5","4","4","4","4","4","4","4","5","4","4","4","5","4","5","5","5","5","5",""
"2026/03/17 8:09:46 a. m. CET","55","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Identificación con los valores o la historia del club","5","4","4","5","5","5","4","4","4","3","4","4","2","4","4","4","5","5","5","5",""
"2026/03/17 8:42:53 a. m. CET","17","Mujer","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Entre 5 y 10 años","Influencia del entorno social (amigos, compañeros, etc.)","4","1","5","4","4","4","5","2","1","2","2","3","2","2","1","5","4","5","5","5",""
"2026/03/17 9:13:45 a. m. CET","24","Hombre","Estudios de posgrado","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","5","4","5","5","4","5","5","4","3","2","2","5","2","4","5","5","4","5","5","5",""
"2026/03/17 9:31:57 a. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","4","3","3","3","4","3","3","1","2","3","3","3","3","4","3","5","4","5","4","5",""
"2026/03/17 9:55:54 a. m. CET","18","Hombre","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Menos de 5 años","Tradición familiar","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",""
"2026/03/17 11:58:50 a. m. CET","53","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","4","5","4","3","3","3","4","4","5","4","3","4","4","4","5","5","4","5","4","4",""
"2026/03/17 12:09:25 p. m. CET","26","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Entre 11 y 20 años","Tradición familiar","5","4","5","5","5","4","4","1","2","2","3","2","1","3","2","5","5","5","4","5",""
"2026/03/17 12:47:26 p. m. CET","25","Hombre","Formación profesional","Socio/a o abonado/a","Siempre que juega","Más de 20 años","Vinculación geográfica (ciudad o región)","5","5","5","5","5","5","4","2","3","3","4","3","4","5","3","5","4","5","5","5",""
